,records-count-all,records-count-wo-outliers,entities-count,entities-with-later-severe-debt,sociodemographic-age-mean,sociodemographic-age-stddev,sociodemographic-age-skewness,sociodemographic-m-w-ratio,sociodemographic-unknown-gender-ratio,amount-mean,amount-stddev,amount-count-unknown,amount-count-too-high,payment-days-diff-mean,payment-days-diff-stddev,payment-delayed-days-mean,payment-delayed-days-stddev,payment-delayed-days-count,payment-prepaid-days-mean,payment-prepaid-days-stddev,payment-prepaid-days-count,payment-on-time-count
Adbouti,25739,25723,12832,281,52.14367024694758,14.116380820823757,0.2935363036420107,1.6805266805266805,0.09569825436408977,964.2735193133047,1576.2900721301896,0,2419,4.354779769078257,34.52770192698497,30.642819476182105,36.227364015738786,11378,-17.379259694477085,10.229323758285796,13616,729
Addis,69719246,69718491,2879096,69664,51.13053240476462,16.84481809616479,0.00774911334865301,1.0586062894309456,0.0036813638725488834,,,0,0,-1.061049284615182,5.721658894531942,34.44464177885128,53.593544046104576,28153,-29.819211433596134,2.1706426039960482,2513295,67177043
Adiningo,8507,8473,6910,112,55.84116643400031,15.675461071160136,0.11745532878696008,1.1225566242631089,0.009985528219971056,242.9643536121673,780.7654227454045,0,48,-16.192847869703765,21.372268399818154,24.372375690607736,42.00215081828095,905,-21.23170243967471,8.76625692755523,7501,67
Alparal,22997,22997,10979,274,55.63569559089994,16.690248145645526,0.277748751872775,1.7242083758937692,0.02832680572001093,966.6659649443961,1664.8632940777788,0,1146,-12.8138452841675,22.1057321523897,21.37760476299519,28.91018097787583,4367,-21.17406962785114,7.927887354047025,18326,304
Apacun,4099428,4099428,885820,44375,43.28028149087938,14.628062005285111,0.771139846604685,0.34627334421020733,0.006999164615836174,,,0,0,-30.0,0.0,,,0,-30.0,0.0,4099428,0
Artersy,54809,52677,11051,428,48.12003621782434,15.042537049600774,-0.39088910087355977,0.9649507119386638,0.1883087503393358,210.41689932197596,396.9646266040632,0,13,1.853484442925755,51.07607541752196,51.265831741314656,78.61841862339966,14133,-16.589589563100372,8.460041839992792,37789,755
Beracdi,243588,242882,107689,2693,43.42071898734177,14.864744735111305,0.36466949711808705,0.8167430672964635,0.03210170026650819,110.96826495019006,137.60295184705987,0,2,-4.98357638688746,20.354773847878157,17.068906371819406,23.87829135761181,70545,-14.892200943658063,7.825324143828338,162135,10202
Berapes,250193,250018,128767,1100,37.75254544737569,10.911891616499748,0.435538182966317,0.2457689620371089,0.0030520241987465734,91.76012271656394,80.3755880768116,0,0,1.4861329984241134,13.931091137122126,8.398211572924343,18.56059817083487,109929,-4.60873379227376,2.7553778177059525,119696,20393
Bernev,1312964,1312964,281239,21284,51.317688440360214,15.671794945562818,0.27550695088584537,0.5159054760281754,0.003683699629141051,125.00209692947979,179.4692501571398,0,17,0.0,0.0,,,0,,,0,1312964
Bertleu,19942,19905,1357,11,51.14182475158085,13.56921210594607,-0.3580292805866218,16.970149253731343,0.11274871039056743,770.1626446624111,1414.7755981285236,0,636,-11.816779703592061,23.43334306545399,9.506463326071168,23.603794983029104,6885,-24.359150935753057,12.496976492156014,12343,677
