"liability_owner","legal_entity_id","info_type","credit_status","valid_from","valid_to"
19033273,19033273,"CC","1",2020-04-20,2023-04-20
11734957,11734957,"CC","1",2020-07-16,2025-07-16
8897534,8897534,"CC","1",2022-04-14,2025-04-14
18640097,18640097,"CC","1",2020-12-13,2023-12-13
6272109,6272109,"CC","1",2021-01-25,2024-01-25
9733595,9733595,"CC","1",2021-05-31,2024-05-31
18640097,18640097,"CC","1",2020-04-16,2023-04-16
14994169,14994169,"CC","1",2020-02-06,2023-02-06
3417454,3417454,"CC","4",2018-04-19,2038-04-19
5610779,5610779,"CC","1",2020-09-15,2023-09-15
18444871,18444871,"CC","1",2020-10-06,2023-10-06
12947635,12947635,"CC","4",2021-12-23,2041-12-23
2726191,2726191,"CC","1",2020-03-09,2023-03-09
18625785,18625785,"CC","1",2014-03-12,2017-03-12
2597732,2597732,"CC","1",2022-06-13,2025-06-13
18640097,18640097,"CC","1",2021-03-09,2026-03-09
6272109,6272109,"CC","1",2021-02-15,2024-02-15
2133974,2133974,"CC","1",2022-04-29,2025-04-29
18444310,18444310,"CC","1",2022-05-16,2025-05-16
2133974,2133974,"CC","1",2021-05-21,2024-05-21
15455396,15455396,"CC","1",2022-06-28,2025-06-28
15455396,15455396,"CC","1",2022-06-28,2025-06-28
6837090,6837090,"CC","1",2020-09-07,2023-09-07
19294997,19294997,"CC","1",2022-09-27,2025-09-27
2184701,2184701,"CC","4",2022-04-07,2042-04-07
2184701,2184701,"CC","1",2022-05-16,2025-05-16
2597732,2597732,"CC","2",2022-08-09,2025-08-09
2597732,2597732,"CC","1",2022-08-11,2025-08-11
14234805,14234805,"CC","1",2021-05-17,2024-05-17
10075417,10075417,"CC","1",2021-01-07,2024-01-07
18640097,18640097,"CC","1",2021-02-15,2024-02-15
10317261,10317261,"CC","1",1997-02-03,2000-02-03
14099783,14099783,"CC","1",1996-05-06,1999-05-06
8657106,8657106,"CC","4",2003-12-04,2023-12-04
17726481,17726481,"CC","1",2000-02-24,2003-02-24
7062725,7062725,"CC","4",1996-05-01,2016-05-01
13654847,13654847,"CC","1",1997-12-15,2000-12-15
9758231,9758231,"CC","1",2000-01-16,2003-01-16
9978239,9978239,"CC","4",1997-11-04,2007-11-04
1730024,1730024,"CC","2",1996-07-29,2001-07-29
9978239,9978239,"CC","4",1999-09-23,2019-09-23
9978239,9978239,"CC","4",1999-02-02,2009-02-02
2470777,2470777,"CC","4",2002-09-18,2022-09-18
1110178,1110178,"CC","1",1997-03-29,2000-03-29
7062725,7062725,"CC","3",1994-07-25,1999-07-25
